sample_id,settlement_a_mm,settlement_b_mm,settlement_c_mm,settlement_d_mm,kv_factor_a,kv_factor_b,kv_factor_c,kv_factor_d,ei_factor_s1,ei_factor_s2,ei_factor_s3,dT_s1_C,dT_s2_C,dT_s3_C,uniform_load_N_per_mm,R_a_kN,R_b_kN,R_c_kN,R_d_kN,sum_R_kN,total_udl_kN,equilibrium_err_kN,has_negative_reaction,v_A_mm,theta_A_rad,v_S1-1_6L_mm,theta_S1-1_6L_rad,v_S1-2_6L_mm,theta_S1-2_6L_rad,v_S1-3_6L_mm,theta_S1-3_6L_rad,v_S1-4_6L_mm,theta_S1-4_6L_rad,v_S1-5_6L_mm,theta_S1-5_6L_rad,v_B_mm,theta_B_rad,v_S2-1_6L_mm,theta_S2-1_6L_rad,v_S2-2_6L_mm,theta_S2-2_6L_rad,v_S2-3_6L_mm,theta_S2-3_6L_rad,v_S2-4_6L_mm,theta_S2-4_6L_rad,v_S2-5_6L_mm,theta_S2-5_6L_rad,v_C_mm,theta_C_rad,v_S3-1_6L_mm,theta_S3-1_6L_rad,v_S3-2_6L_mm,theta_S3-2_6L_rad,v_S3-3_6L_mm,theta_S3-3_6L_rad,v_S3-4_6L_mm,theta_S3-4_6L_rad,v_S3-5_6L_mm,theta_S3-5_6L_rad,v_D_mm,theta_D_rad
0,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.51,6.8,8.72,-61.64,1088.3563950621208,2398.660823669274,2482.537595441349,1128.048918007355,7396.800000043214,7396.8,4.321373126003891e-08,False,-0.1926039768973416,-0.0007752551623268,-5.297124955353699,-0.0008020747241137,-9.460806897170698,-0.000328963256562,-9.932739711971664,0.0003332131248649,-6.03227555782343,0.0008736025345777,0.9023637542184836,0.0009813530869952,6.07862305919134,0.0003455986666606,5.997860632538649,-0.0001398906359059,4.718336659167459,-0.0001951221884616,4.0821215444132255,-3.2568324589399694e-05,4.375369704784048,0.0001353083480431,5.670848594559141,9.604522177100524e-05,4.717966566253147,-0.0003628300369871,0.11994891686123611,-0.0009167496318203,-5.792546009209851,-0.0007605773082702,-8.779738051771066,-0.0001943515984136,-7.0641772228324395,0.0004819026999271,-2.854237752746859,0.0009681607889348,3.8080741861341463,0.0009643841365363
1,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.47,6.65,4.51,-61.64,1067.7692302381593,2640.0166098755662,2758.7094236985295,943.1337879996968,7396.800000004981,7396.8,4.980392986908555e-09,False,-0.16937382428385647,-0.0008057064742813,-5.941355430110759,-0.0008287520096026,-10.029282606501223,-0.0003475184626545,-9.32405203434116,0.0003271280510989,-5.856266684856484,0.0008843356460683,0.6041821905283626,0.0010132524366717,5.93673275055665,0.0004030123074521,6.69362758801698,-6.94541459652324e-05,5.644466878083048,-0.0001332790996726,4.901402943035746,-9.34887252838802e-07,5.950448554015835,0.0001151158836267,6.1649757368684766,2.4106053017178087e-06,4.824141894581088,-0.0005515230558085,-1.0577917795981877,-0.0010818485450871,-8.122217461220588,-0.0008757537715388,-11.550933494436453,-0.000233277267242,-10.781734476663553,0.0005455561699818,-4.629827228389788,0.0011607217423175,3.5602102603975476,0.0013121809176947
2,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.95,14.5,13.56,-61.64,1110.2295366025735,2682.3117364745426,2206.1169794119087,1135.5878814010177,7396.800000072662,7396.8,7.266226020874457e-08,False,-0.19935547158029876,-0.0009286769812554,-7.1463439328378175,-0.0009558958798412,-11.581749795608804,-0.0004487824226846,-12.320850956518777,0.0002817972747514,-7.963950999611098,0.000924991326871,-0.8516718999368034,0.0011699478480883,6.077459942350074,0.0007058007229447,8.952181888658146,6.515733722740849e-05,7.588646125909543,-0.0001216899605103,6.616926280938054,-6.721350384994707e-05,7.248829167814587,1.6124099541590767e-05,6.463511303570645,-8.413975799810989e-05,5.258353607551974,-0.0005804774100492,-0.6750731646504153,-0.0009625643229674,-6.826092011008609,-0.0007010016233044,-9.438429480340686,-9.582784313788753e-05,-7.678630404390889,0.0005529322197104,-2.470505536729546,0.0009452537674231,3.8266254002265683,0.0007810982679265
3,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.04,11.29,9.53,-61.64,1130.7002184296805,2729.66488951781,2796.485637946311,1163.2853893193947,7396.800000018423,7396.8,1.842272467911243e-08,False,-0.1678927542477658,-0.0009401878932604,-6.920359219688909,-0.0009391473254203,-11.593266009813236,-0.0004200554689805,-10.753799795490886,0.0003062215606015,-7.874847511807458,0.0009288318777293,-0.513266367071893,0.0011369235968191,5.4716715290673505,0.0006196306024122,8.449993594768493,3.235054121576691e-05,7.2686865146810735,-0.0001176723966897,7.075874964703267,-4.291054488557381e-05,6.665520905958678,4.41734889619648e-05,6.920849167438295,-6.88829028106682e-05,4.994640925755038,-0.0005945520537833,-1.0540258383359127,-0.0010303193344714,-7.036049269502906,-0.0007833678448024,-11.286517239052337,-0.0001537361168549,-8.648617817504052,0.0005585510515497,-3.643497080691062,0.001053468862595,3.690709993093493,0.0010309787842091
4,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,9.03,4.37,4.82,-61.64,1169.3248933833565,2253.7660696535067,2558.580516455604,1000.5088976100724,7396.800000035158,7396.8,3.5157427191734314e-08,False,-0.1727622222820384,-0.0007729667184163,-4.93360776058029,-0.00078556582713,-10.777679912814348,-0.0003081930003564,-9.303760347505321,0.0003482856464426,-4.586884682634401,0.0008730182276779,1.16701088559362,0.0009551528577691,5.876861437759959,0.0002838234212597,6.087683712342285,-0.0001542980337894,4.380677774275744,-0.0001801433461171,4.138166542534175,-6.184849306115743e-06,4.869891144235162,0.0001551148489765,5.841092549980706,9.129314106610756e-05,4.817979965305181,-0.0004101223066186,-0.33809814358073664,-0.0010005670909937,-6.629814903486583,-0.0008459153770694,-10.288533934737185,-0.0002462056969238,-9.230171064310095,0.0004985371516216,-4.85904709354604,0.0010882883707511,3.738094813339586,0.001223009428393
5,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,8.49,13.31,12.75,-61.64,1017.3533991128934,2822.0638333136435,2451.243315196097,1170.9735137898192,7396.800000049658,7396.8,4.9657501222100115e-08,False,-0.2009331107009472,-0.0010211430637699,-7.701275354509985,-0.0009968803360684,-12.703228390776017,-0.0004521220000488,-12.79856585533334,0.0003022658288257,-8.900248849225724,0.0009554312649591,-1.0140111615292138,0.0011965224227651,6.1730445711158755,0.000714673186784,8.460640455426317,6.64481039762961e-05,8.349497377409044,-0.0001248577697018,6.985715398865408,-7.171676783246738e-05,6.492101398010004,1.3408501917383426e-05,6.71374416161242,-8.194456811542005e-05,4.6610605350996925,-0.0005702483115109,-0.7111525835341228,-0.0009691302803042,-6.149541020883832,-0.0007154180809028,-9.218455076999438,-0.0001091502453841,-7.418076961151589,0.0005496484284297,-2.699928917011215,0.0009609531427214,3.542458944293864,0.0008247253654177
6,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,7.5,2.58,5.11,-61.64,1059.0194439605514,2379.730435645602,2674.590389356729,1017.974572683809,7396.800000012474,7396.8,1.247371983481571e-08,False,-0.16783440987659087,-0.0008453825782452,-6.137896991255954,-0.0008060860441438,-9.734703404565455,-0.000295426288925,-9.244641240063926,0.0003757305719496,-5.119513229975775,0.0008965326528906,1.3305591146746931,0.0009561280683176,5.414645695667087,0.0002436507027742,5.399735159071217,-0.0001946226057759,4.276638034902775,-0.0002114981481231,3.55116166039098,-1.944825784972243e-05,3.775144006781133,0.0001690644573771,5.500766237219013,0.0001415773898916,4.684956912791864,-0.0003143817938881,0.14182427643516984,-0.0009443646463855,-6.184929052603814,-0.0008241713518329,-10.275504195424071,-0.0002538404423093,-9.273085977507984,0.0004666032843646,-3.9362693183589816,0.0010371350303715,3.551085938891796,0.0011577162636392
7,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,7.7,5.35,5.37,-61.64,1159.6043505464374,2518.345355337746,2486.5196115012022,1150.1436992432666,7396.800000032135,7396.8,3.2135176297742873e-08,False,-0.1796366493915696,-0.0009082010597087,-5.847878139999424,-0.0008696500179228,-10.186684629598064,-0.0003452267396528,-10.972852623522494,0.000354202659637,-7.032939390716606,0.0009177862943543,0.5498378312266081,0.0010346722789168,5.857927435373716,0.000393994497867,6.789815717755355,-9.52867500434536e-05,5.224113990194248,-0.0001625864465819,5.441035866720959,-2.0376925331541977e-05,4.998045632454258,0.0001188792060402,6.373508649774676,4.2719339869242954e-05,4.943774959556686,-0.0004613288574254,-0.5883654145550973,-0.0010201574822198,-7.618778918571007,-0.0008436380013661,-11.236266900467133,-0.0002318089469419,-10.311775778275162,0.0005153048832312,-3.8636552148452177,0.0010976786913367,3.7211427055153785,0.001215273945304
8,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,6.89,11.06,10.77,-61.64,1135.0374578863673,2641.680700352338,2788.4498135569515,1162.319818615004,7396.800000046044,7396.8,4.6044078771956265e-08,False,-0.1727931813693238,-0.0011028642907197,-7.5237987471695265,-0.0010238141796528,-12.185922303010354,-0.0004426936935408,-14.311172658196583,0.0003296310521503,-8.98073231758544,0.0009823081718237,-0.9388185460785372,0.0012044857798928,6.036954703748619,0.0006852977608979,8.293262847686377,5.0351383271966505e-05,7.6443899069648795,-0.0001299979233385,6.894429632224,-6.822249251583982e-05,6.806178731013245,2.3215068073716095e-05,7.028664193372058,-6.814784923432461e-05,5.109059986303237,-0.0005547835780202,-0.7150386451636345,-0.0009903100454783,-7.0082358374193685,-0.0007521797086209,-9.39538766722324,-0.0001404310995261,-8.575152469513183,0.0005449109839844,-3.008406912208003,0.0010038217440938,3.6529951219677397,0.0009362626487292
9,0.0,6.76236317848972,5.36742114401563,3.91697015037621,1.21875633217039,0.575148946195117,1.03133789506241,0.952294668480702,0.904193529807932,1.3229163792255,0.936823441580484,6.49,2.29,2.98,-61.64,995.914828093065,2734.3703331410675,2708.189346757368,980.1232714975363,7396.800000023533,7396.8,2.353317540837452e-08,False,-0.1626693538889932,-0.0009367735271893,-6.587332883301347,-0.0008595597844827,-9.986516445738978,-0.0003159484034485,-10.17396886998117,0.0003831945004506,-6.183287804737476,0.0009270170416239,1.012853418837892,0.0010046673344883,5.585962473405538,0.0003052792635873,5.852857999620596,-0.0001447177599248,4.730803540032759,-0.0001792376296222,4.017567468303196,-1.075267908712512e-05,4.793094146991519,0.0001482744840127,6.122928781271681,8.53812520121388e-05,4.712508252918692,-0.0004119047086701,-0.4793232821502115,-0.001029030729729,-7.2676358771945075,-0.000882827300365,-10.461691368794183,-0.000273332952656,-9.760825160396356,0.0004994275155773,-4.949207341842699,0.0011354293065188,3.592826027086412,0.0013346338880979
