sample_id,settlement_a_mm,settlement_b_mm,settlement_c_mm,settlement_d_mm,kv_factor_a,kv_factor_b,kv_factor_c,kv_factor_d,ei_factor_s1,ei_factor_s2,ei_factor_s3,dT_s1_C,dT_s2_C,dT_s3_C,uniform_load_N_per_mm,R_a_kN,R_b_kN,R_c_kN,R_d_kN,sum_R_kN,total_udl_kN,equilibrium_err_kN,has_negative_reaction,v_A_mm,theta_A_rad,v_S1-1_6L_mm,theta_S1-1_6L_rad,v_S1-2_6L_mm,theta_S1-2_6L_rad,v_S1-3_6L_mm,theta_S1-3_6L_rad,v_S1-4_6L_mm,theta_S1-4_6L_rad,v_S1-5_6L_mm,theta_S1-5_6L_rad,v_B_mm,theta_B_rad,v_S2-1_6L_mm,theta_S2-1_6L_rad,v_S2-2_6L_mm,theta_S2-2_6L_rad,v_S2-3_6L_mm,theta_S2-3_6L_rad,v_S2-4_6L_mm,theta_S2-4_6L_rad,v_S2-5_6L_mm,theta_S2-5_6L_rad,v_C_mm,theta_C_rad,v_S3-1_6L_mm,theta_S3-1_6L_rad,v_S3-2_6L_mm,theta_S3-2_6L_rad,v_S3-3_6L_mm,theta_S3-3_6L_rad,v_S3-4_6L_mm,theta_S3-4_6L_rad,v_S3-5_6L_mm,theta_S3-5_6L_rad,v_D_mm,theta_D_rad
0,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.51,6.8,8.72,-61.64,1022.1614861413166,2704.989644993028,2477.0279737281244,1074.2600293997796,7396.799999868614,7396.8,-1.31386514112819e-07,False,-0.17523694586106509,-0.0022279432235221,-14.62486372237987,-0.0019978026959873,-24.90754249851053,-0.0009224068855932,-25.9821080356315,0.0004344668390376,-19.306157673398555,0.0015090669161743,-8.766604454609382,0.0017376417840693,0.27302290773230087,0.0005564140740528,-0.025819512520694015,-0.000457242470158,-3.8515013347431455,-0.000566058736276,-6.412618730458284,-0.0002171227533838,-6.552652844770563,0.0001424979148656,-5.646319325898452,6.573570483058302e-05,-7.719542825590409,-0.0008944974125676,-18.35264383740853,-0.0020315750682102,-31.41995897260274,-0.0016540545098073,-37.5013307279141,-0.0003734650190733,-35.88864278852315,0.0011986921150053,-23.89090174531144,0.002450915603471,-5.034603731148357,0.0027716761646443
1,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.47,6.65,4.51,-61.64,1032.4228164185167,2616.3796512953327,2770.875899147223,1031.1587589101687,7396.799999879678,7396.8,-1.2032251106575134e-07,False,-0.17172318476767298,-0.0022580194582487,-15.193324721550834,-0.0020241636526138,-25.412027012187252,-0.0009408220079134,-27.427551530002443,0.0004282281072298,-19.65091212364505,0.001519235131084,-8.99741911728958,0.0017684475019033,0.26960464218603974,0.0006120878510177,0.3967367333908885,-0.0003866558648767,-2.920592127290635,-0.0005029927513095,-5.266534052413705,-0.0001840108373634,-5.375599343988839,0.0001232223133106,-4.776930359626497,-2.8360862929830463e-05,-7.86479091265827,-0.0010858483951634,-19.629484928567933,-0.0021980524069874,-32.99007898021189,-0.0017695625036437,-42.81985792237836,-0.0004119079668428,-38.60660200432811,0.0012634099144252,-24.909223427593183,0.002644889851202,-5.034553207145288,0.0031210025618125
2,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.95,14.5,13.56,-61.64,1060.6117648144116,2644.717989243629,2649.5517792013047,1122.0192745229085,7396.799999866567,7396.8,-1.334328771918081e-07,False,-0.17089286148678656,-0.0023681243006,-15.774466441367432,-0.0021394927504708,-25.3764592081928,-0.0010334238722897,-30.036594545027715,0.0003863049653223,-21.306667783257595,0.00155594220064,-10.3376191342759,0.0019117362719189,0.27311442112075157,0.0008899098104903,1.7819080978432962,-0.0002676323340592,-1.217815146516284,-0.0004983583576046,-4.123613392429908,-0.0002493562892279,-4.67655745321828,3.2306307425832965e-05,-4.434470565922951,-0.000100438131284,-7.8647430458638485,-0.0010946776344367,-18.74467412470254,-0.0020680393613344,-30.913098994233188,-0.0015917694066899,-38.17842387941356,-0.000277397052211,-33.57644013575079,0.0012635764131144,-23.46400418036396,0.0024196497003271,-5.474334146180799,0.0025792935277498
3,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.04,11.29,9.53,-61.64,1021.3540726434837,2686.4203536908685,2675.5210829579455,1040.3163747888877,7396.799999863991,7396.8,-1.3600947568193078e-07,False,-0.17886577558635355,-0.0023861867131029,-15.346315691786582,-0.0021287526449258,-26.46348911540994,-0.0010090762126008,-28.954430294012752,0.0004090652152507,-21.655635578847768,0.0015619200769052,-9.839665381197086,0.0018857368106158,0.28846962289337863,0.0008167380477136,1.4290834508405401,-0.0002926715398336,-1.5913064222769548,-0.0004912005485572,-3.9467120914174916,-0.0002259370075389,-4.518133360863542,5.605151957739975e-05,-4.308101572928674,-9.230253084910106e-05,-7.844004876549862,-0.0011180871878982,-19.75421251476968,-0.0021407817220922,-32.10356340153581,-0.0016755658825065,-41.413136623337756,-0.0003339689508522,-36.01630708377914,0.0012725077838819,-23.70220001163471,0.002532363032741,-5.142269154989306,0.0028340675140453
4,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,9.03,4.37,4.82,-61.64,1023.9864735661811,2698.3908131058142,2624.56302347225,978.0238221077403,7396.799999868339,7396.8,-1.316611815127544e-07,False,-0.17626325115158686,-0.0022300775858701,-15.525282678764462,-0.0019853583561029,-25.669570490491868,-0.0009046264390095,-26.489367922005286,0.0004483407967881,-19.577596842389557,0.001509791789556,-7.666702859348248,0.0017159749775477,0.2709085414717291,0.0005031129920928,-0.22406380045615007,-0.0004662264038165,-4.182908856634442,-0.0005485362119185,-6.363413335029318,-0.0001909044612964,-6.631232667891369,0.0001596012843998,-5.337366779805107,5.591346152888931e-05,-7.732499014673656,-0.0009490559589877,-18.93629997141336,-0.0021192620909962,-32.89685783996129,-0.0017404830132563,-42.21397726831423,-0.0004242480074825,-37.05541173793508,0.0012179416373357,-24.176642555500823,0.0025745846322436,-5.4227972684111325,0.0030341516955647
5,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,8.49,13.31,12.75,-61.64,1020.2475517622975,2642.70966794646,2647.0911361738363,1059.9734005717553,7396.799999867331,7396.8,-1.3266890164231881e-07,False,-0.17811269852277614,-0.0024652512178024,-17.487846509435297,-0.0021847334549294,-27.572997188640294,-0.0010398059385139,-29.160581236972085,0.0004057539628289,-23.726540491104984,0.0015881946873714,-10.064525448117882,0.0019437646733683,0.26769756633155184,0.0009086865521526,1.781532244561177,-0.0002612081007026,-1.1167765407915902,-0.0005002177630133,-3.7620481189606143,-0.0002554304638615,-4.280935438914693,2.6086233107261532e-05,-4.425619719601812,-0.0001027352357483,-7.819195753554722,-0.0010889828995081,-20.08748994851942,-0.002077055365388,-32.54943543127674,-0.0016069305608199,-39.93569488127419,-0.0002901377675118,-35.28395084755306,0.0012618217255481,-24.131301222900763,0.0024374466294025,-5.213244507084238,0.0026252076623717
6,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,7.5,2.58,5.11,-61.64,935.1934661490997,2741.3806482675122,2764.101206994364,973.142266572642,7396.7999998492205,7396.8,-1.5077966963872313e-07,False,-0.15754119040961936,-0.0023085018363644,-15.604750239412741,-0.0020113591557322,-25.5197032270105,-0.0008957568860422,-25.42888179543168,0.0004745276040809,-20.65701258890406,0.0015357427529084,-7.973121725507765,0.001724136998692,0.25872149882316775,0.0004759329727609,-0.4304502426366741,-0.0005000676340682,-4.3938218896823935,-0.0005785210932979,-7.205036630330512,-0.0002065154340101,-7.172140536455288,0.0001688817801487,-5.988678115164798,0.0001006029855375,-7.857977002187234,-0.0008584398469217,-19.078001084728353,-0.0020658422800847,-31.985891611852484,-0.0017196056305637,-40.316198689853024,-0.0004312591800683,-36.61487782424532,0.0011876957824084,-24.386102608027095,0.0025257579679122,-4.957238004999665,0.0029713980947647
7,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,7.7,5.35,5.37,-61.64,961.2519724903127,2713.7775123231736,2751.088832466505,1025.911098583935,7396.799999852363,7396.8,-1.476373654440977e-07,False,-0.16529805122181251,-0.0023662292927214,-15.477971351349609,-0.0020702691364336,-26.70781633974866,-0.0009422144397777,-27.03766413680251,0.0004541574286243,-20.292086394960446,0.001555094907042,-8.44171120015965,0.00179684643373,0.2761013878731498,0.0006156346400195,0.33967795815174057,-0.0004064443803778,-3.207158085279701,-0.0005312869267327,-5.695354706546131,-0.0002059810281277,-5.707512537567304,0.000122405751788,-4.879699130605296,6.805849372607118e-06,-7.928459861554425,-0.0009998687644521,-18.3231214939244,-0.0021386643021421,-31.0543070400249,-0.0017381856472321,-40.024313310027814,-0.0004099620814333,-37.83440645801562,0.0012345051062606,-24.83570634541224,0.0025837146268928,-5.154192269670189,0.0030261371987887
8,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,6.89,11.06,10.77,-61.64,965.7780563579115,2753.0737180410624,2701.3672107251928,1019.9711590042176,7396.799999845436,7396.8,-1.545640770928003e-07,False,-0.17154709902287674,-0.0025535210866697,-17.10098911557485,-0.0022176557073233,-27.688007526933088,-0.001034685341486,-32.04190549810813,0.0004316126422263,-21.77839434780047,0.0016174866820869,-10.382420995227022,0.0019591852163528,0.26936301627846304,0.0008929308763553,1.71648859131281,-0.0002699152175701,-1.260191014305901,-0.0005031024077924,-3.948371190459231,-0.0002537187233926,-4.58502249726085,3.116827199000042e-05,-4.436958120135301,-9.550898528452158e-05,-7.612107588151442,-0.0010808385242959,-19.144052951772533,-0.0021021723925967,-33.66641852582505,-0.0016448614627386,-39.613935933252165,-0.000320435016425,-36.64890872744409,0.0012596056573519,-23.352453554210395,0.0024837592696357,-5.1731172432812755,0.0027404965387484
9,0.0,0.696347252685921,-6.53918504586336,-4.61144797226549,1.19384210557675,1.25832465812169,0.429619502118691,0.341791088238408,0.498571148555778,0.62869750909386,0.459639691249684,6.49,2.29,2.98,-61.64,1008.260762998369,2626.653169716262,2676.7347330655048,1018.8633869468722,7396.799999870635,7396.8,-1.2936561688547954e-07,False,-0.16404106067164756,-0.0024019372089421,-15.495188322380198,-0.0020667087892158,-25.51190307145667,-0.0009176493022481,-27.69271756088035,0.0004814638833388,-19.501791483461144,0.0015668792058193,-8.428695168398573,0.0017748451034444,0.2628398487077193,0.0005415842075448,-0.03819342904867286,-0.0004477188549294,-3.7587094067169993,-0.0005452334285916,-6.3275447562217515,-0.000198047542524,-6.071192611572021,0.0001467712396269,-5.190652519362781,4.215535422008617e-05,-7.652102276421056,-0.0009589832278228,-18.916336483675178,-0.0021521207018726,-33.676106254367475,-0.0017787218130791,-39.90834557450557,-0.0004503158431507,-37.123232816788295,0.001221595918922,-25.2179373323436,0.0026255121841826,-5.169952897372678,0.0031499036709539
